TIPO,ID_PARAFRASEADO,ID_ORIGINAL,TITULO_ORIGINAL,TITULO_PARAFRASEADO,DESCRIPCION_ORIGINAL,DESCRIPCION_PARAFRASEADA,URL_IMAGEN_ORIGINAL,URL_IMAGEN_PARAFRASEADO,FECHA_ORIGINAL,FECHA_PUBLICACION,CATEGORIA,SITIO_DESTINO,CONTENIDO_ORIGINAL_PREVIEW,CONTENIDO_PARAFRASEADO_PREVIEW,COINCIDE_IMAGEN,COINCIDE_CATEGORIA
PARAFRASEADO,"b49502e1-4a8c-46f4-82a3-b41f471974b8","N/A","N/A","Alcaldesa Rosi Wong impulsa alianzas para fortalecer el deporte tras reunión con Rommel Pacheco y autoridades federales","N/A","La alcaldesa refrendó su compromiso de impulsar el deporte para beneficio de las familias tecamaquenses.","N/A","https://news-api.sebastianvernis.workers.dev/api/images/news/6f1ea74e-d820-48c0-8939-86c06201bbe5.jpg","N/A","2026-02-25T17:28:54.586Z","POLITICA","cbnnoticias",,"<p>Este martes, la presidenta municipal de Tecámac, Rosi Wong Romero, sostuvo una reunión de trabajo con el exclavadista olímpico Rommel Pacheco, director de la Comisión de Cultura Física y Deporte (C",NO,NO
PARAFRASEADO,"b20a8bac-56c3-4f2f-8e93-e7c1cc4c1163","N/A","N/A","Gobierno de la alcaldesa Rosi Wong emite medidas ante las bajas temperaturas en Tecámac","N/A","Se recomienda consumir frutas y verduras ricas en vitamina C, como los cítricos, así como beber suficientes líquidos para ayudar al organismo a regular su temperatura.","N/A","https://news-api.sebastianvernis.workers.dev/api/images/news/2c0042b9-7a7d-4f11-b91e-6cc0353ce669.jpg","N/A","2026-02-25T06:25:24.322Z","POLITICA","noticiasobjetivo,mexicoinformado,bitacoraurbana,nodoinformativo,cbnnoticias,radiocinconoticias,centralmexico,reportecentralmx,tvmexico,verticenoticias",,"<p> Ante el drástico descenso de temperaturas registrado en los últimos días, el Gobierno Municipal de Tecámac, encabezado por la presidenta municipal Rosi Wong Romero, emitió una serie de medidas par",NO,NO
PARAFRASEADO,"0801cd10-6ef2-4ce6-8915-25e84b014021","71845484-bfb5-4f12-bc6c-14af8d786285","N/A","Luto en ‘La Academia’: fallece uno de los más recordados participantes del show","N/A","Los fans del reality show de canto La Academia, de la cadena TV Azteca, recibieron una dolorosa noticia este martes 24 de febrero al confirmarse la muerte de uno de los artistas que destacó en la primera generación del concurso. Se trata de Héctor Zamorano, quien murió a los 47 años, se...","N/A","/logo.png","N/A","2026-02-25T04:41:10.720Z","NACIONAL","noticiasobjetivo",,"Los fans del reality show de canto La Academia, de la cadena TV Azteca, recibieron una dolorosa noticia este martes 24 de febrero al confirmarse la muerte de uno de los artistas que destacó en la prim",NO,NO
PARAFRASEADO,"298533d1-c315-4c9a-a343-20cecda77e99","3290fed1-e555-4d03-94c9-3e5eea642b30","¡Llegó la caballota! El FIA 2026 tendrá a estas estrellas latinas como plato fuerte del festival","¡Llegó la caballota! El FIA 2026 tendrá a estas estrellas latinas como plato fuerte del festival","N/A","‌ ‌ ‌ ‌ El Festival Internacional de las Artes (FIA) vuelve este 2026 al ritmo de reguetón y música latina. Y “¡Quítate tú, que llegó la caballota!”, porque la artista Ivy Queen, dueña de esa icónica frase, fue anunciada como el plato fuerte de la agenda. Además de la puertorriqueña, el festiva...","https://www.nacion.com/resizer/v2/OKSR2TPQBVC35NRJCEVA4MNYWU.jpg?smart=true&auth=ba35cd0cb0d50e7e55d49c0b26bca8531cb30701e75e770f02012a57b6478dcb&width=1440","/logo.png","2026-02-24T23:44:51Z","2026-02-24T23:44:51Z","Nacional","mexicoinformado","‌ ‌

‌

‌

El Festival Internacional de las Artes (FIA) vuelve este 2026 al ritmo de reguetón y música latina . Y “¡Quítate tú, que llegó la caballota!”, porque la artista Ivy Queen, dueña de esa icón","‌El Festival Internacional de las Artes (FIA) vuelve este 2026 al ritmo de reguetón y música latina. Y “¡Quítate tú, que llegó la caballota!”, porque la artista Ivy Queen, dueña de esa icónica frase, ",NO,SI
PARAFRASEADO,"cef99eeb-41d3-4509-ba3e-898bcf0e90ab","bb847486-20d6-42ad-9ca6-01cfcd9f7d30","TV del Mundial 2026: se conoció el calendario de partidos, con los tres canales para la Argentina","TV del Mundial 2026: se conoció el calendario de partidos, con los tres canales para la TV Argentina","N/A","La cuenta regresiva para el Mundial de Estados Unidos-México-Canadá 2026 ya comenzó y la fiebre mundialista ya se apodera de todos los hinchas del país, que esperan ver a la selección argentina, en la última Copa del Mundo de Lionel Messi, volver a levantar el trofeo al igual que en Qatar 2022. Todo...","https://resizer.glanacion.com/resizer/v2/la-seleccion-argentina-se-clasifico-al-mundial-GGDPFSQLLZF7JIA7X4NR7VOAR4.JPG?auth=aedfafd9149b910d21d77317c986db5f493d4b1eef912eb2bdc75c00f96c951e&width=1200&quality=70&smart=false&height=800","/logo.png","2026-02-24T23:29:17Z","2026-02-24T23:29:17Z","Nacional","bitacoraurbana","La cuenta regresiva para el Mundial de Estados Unidos-México-Canadá 2026 ya comenzó y la fiebre mundialista ya se apodera de todos los hinchas del país, que esperan ver a la selección argentina, en la","La cuenta regresiva para el Mundial de Estados Unidos-México-Canadá 2026 ya comenzó y la fiebre mundialista ya se apodera de todos los hinchas del país, que esperan ver a la selección argentina, en la",NO,SI
PARAFRASEADO,"97f916e3-2cbe-42cd-969c-a0143efa75e6","06f81e1f-bfeb-486a-af11-ea11a06e64ba","¿A qué hora será el desfile planetario este 28 de febrero?","¿A qué hora será el desfile planetario este 28 de febrero?","N/A","Los cielos serán testigos del evento con el que cierra febrero, la alineación planetaria o desfile planetario nos permitirá vivir una experiencia astonómica legendaria, les damos todos los detalles sobre el acontecimiento que se llevará las miradas el fin de semana. La fecha más recomendada para ob...","https://files.merca20.com/uploads/2026/02/ALINEACION-PLANETARIA.jpg","/logo.png","2026-02-24T23:10:48Z","2026-02-24T23:10:48Z","Nacional","noticiasobjetivo,mexicoinformado,bitacoraurbana,nodoinformativo,cbnnoticias,radiocinconoticias,centralmexico,reportecentralmx,tvmexico,verticenoticias","Los cielos serán testigos del evento con el que cierra febrero, la alineación planetaria o desfile planetario nos permitirá vivir una experiencia astonómica legendaria, les damos todos los detalles so","Los cielos serán testigos del evento con el que cierra febrero, la alineación planetaria o desfile planetario nos permitirá vivir una experiencia astonómica legendaria, les damos todos los detalles so",NO,SI
PARAFRASEADO,"cbb5bb42-e419-461b-9a5c-1cf43d1fc232","c0b3d684-c761-463a-87cc-7d40ba6241a8","N/A","Mazda creó en secreto un V6 para su deportivo más icónico. El problema es que el motor no le cabía","N/A","Alonso Brugada Alonso Brugada El Mazda MX-5 es uno de los automóviles de corte deportivo más populares en el mundo. Y sí, ya sé que muchos podrán decir que no es un deportivo apropiado por la falta de potencia (para algunos), pero en algún punto los ingenieros japoneses quisieron resolver parte de...","N/A","/logo.png","N/A","2026-02-24T23:09:04Z","Nacional","radiocinconoticias",,"El Mazda MX-5 es uno de los automóviles de corte deportivo más populares en el mundo. Y sí, ya sé que muchos podrán decir que no es un deportivo apropiado por la falta de potencia (para algunos), pero",NO,NO
PARAFRASEADO,"3ab915cd-a450-4a62-866c-510ab09d76f7","3a5d471f-56ba-4bff-9bc1-f3e1cbceb4d4","N/A","Líderes del Caribe se reúnen en cumbre mientras políticas de EEUU afectan la región","N/A","Por BERT WILKINSON y DÁNICA COTO GEORGETOWN, Guyana (AP) — Mandatarios de naciones del Caribe se reunieron el martes en St. Kitts y Nevis para debatir asuntos apremiantes, entre ellos la relación de la región con el gobierno de Estados Unidos, que ha seguido atacando embarcaciones en la región que...","N/A","/logo.png","N/A","2026-02-24T23:07:53Z","Nacional","centralmexico",,"Mandatarios de naciones del Caribe se reunieron el martes en St. Kitts y Nevis para debatir asuntos apremiantes, entre ellos la relación de la región con el gobierno de Estados Unidos, que ha seguido ",NO,NO
PARAFRASEADO,"77f474cc-6e90-4831-b0bc-3bd2be5d6428","499a23ef-8c45-492e-9ef3-466fe9096dca","N/A","Este monstruoso juego tiene tantas mecánicas que lo hacen especial, pero la gente se queja solo de una cosa: no puedes bucear","N/A","Kenth Kenth Crimson Desert se ha consolidado como uno de los lanzamientos más importantes de este 2026. Desarrollado por Pearl Abyss, el equipo detrás del exitoso MMORPG Black Desert, este título para un solo jugador llegará el próximo 19 de marzo con una propuesta que abarca mucho más de lo que...","N/A","/logo.png","N/A","2026-02-24T23:00:55Z","Nacional","tvmexico",,"Crimson Desert se ha consolidado como uno de los lanzamientos más importantes de este 2026. Desarrollado por Pearl Abyss, el equipo detrás del exitoso MMORPG Black Desert, este título para un solo jug",NO,NO
PARAFRASEADO,"650f85f9-d17a-4b4d-8184-fd7a2513647e","fdcc6151-34c5-4970-9c25-b73015b6e037","“Esto era Bagdad”: los testimonios de los argentinos que vivieron el estallido de violencia narco en México","“Esto era Bagdad”: los testimonios de los argentinos que vivieron el estallido de violencia narco en México","N/A","La confirmación de la muerte de Nemesio Oseguera Cervantes, alias “El Mencho”, líder del Cártel Jalisco Nueva Generación (CJNG), desató un sismo violento en los estados de Jalisco y Nayarit. El caos de la represalia de los grupos narcos luego se trasladó a otros distritos del país, que en junio será...","https://resizer.glanacion.com/resizer/v2/puerto-vallarta-es-conocida-como-un-paraiso-en-el-EASML4FXYRDN5LXXOIOSULF3GE.JPG?auth=8af66600f9e606cdecf197f9c5c1fbc4b09a213ce36f2ccf152ae8ad5020ea55&width=1200&quality=70&smart=false&height=800","/logo.png","2026-02-24T22:55:51Z","2026-02-24T22:55:51Z","Nacional","verticenoticias","La confirmación de la muerte de Nemesio Oseguera Cervantes, alias “El Mencho”, líder del Cártel Jalisco Nueva Generación (CJNG), desató un sismo violento en los estados de Jalisco y Nayarit. El caos d","La confirmación de la muerte de Nemesio Oseguera Cervantes, alias “El Mencho”, líder del Cártel Jalisco Nueva Generación (CJNG), desató un sismo violento en los estados de Jalisco y Nayarit. El caos d",NO,SI
